participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,train_trials.order,R_cond_filter.thisRepN,R_cond_filter.thisTrialN,R_cond_filter.thisN,R_cond_filter.thisIndex,R_cond_filter.ran,R_cond_filter.order
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,8,03,2,2,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,1,14,2,3,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,7,15,2,4,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,3,11,2,5,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,5,16,2,6,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,6,09,2,7,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,2,05,2,8,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,3,15,3,1,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,6,12,3,2,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,1,01,3,3,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,4,03,3,4,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,4,10,3,5,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,8,14,3,6,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,7,16,3,7,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,3,09,3,8,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,4,13,4,1,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,2,04,4,2,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,2,11,4,3,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,2,16,4,4,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,3,06,4,5,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,8,06,4,6,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,5,14,4,7,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,1,05,4,8,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
